Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,213.1219940185547,302.67645263671875,28885.140625,9251.330078125,220.0800018310547,327.45001220703125,28885.140625,9251.330078125,221.2100067138672,328.6199951171875,29149.529296875,9298.330078125,219.74000549316406,326.8399963378906,28790.490234375,9226.490234375,220.83999633789062,327.4700012207031,29149.529296875,9270.6103515625,24418100.0,62832800.0,1643504700.0,2553160000.0
2020-01-15,213.20912170410156,303.3603210449219,28773.58984375,9258.7001953125,220.1699981689453,328.19000244140625,28773.58984375,9258.7001953125,221.1999969482422,329.0199890136719,28972.6796875,9298.8203125,219.4499969482422,327.260009765625,28619.099609375,9231.1396484375,220.1999969482422,327.3500061035156,28891.0703125,9253.759765625,25742100.0,72056600.0,1240120700.0,2443220000.0
2020-01-16,215.25238037109375,305.8838806152344,28883.0390625,9357.1298828125,222.27999877929688,330.9200134277344,28883.0390625,9357.1298828125,222.32000732421875,330.9200134277344,28987.73046875,9357.919921875,220.8000030517578,329.45001220703125,28709.5703125,9301.3203125,221.27000427246094,329.70001220703125,28806.119140625,9313.4501953125,18805000.0,54050300.0,1620926200.0,2312110000.0
2020-01-17,216.31761169433594,306.8359375,29056.419921875,9388.9404296875,223.3800048828125,331.95001220703125,29056.419921875,9388.9404296875,223.55999755859375,332.17999267578125,29101.150390625,9393.48046875,222.1199951171875,330.8500061035156,28813.130859375,9346.8095703125,223.27999877929688,331.70001220703125,28988.16015625,9392.3701171875,24325200.0,95846000.0,1545082800.0,2542540000.0
2020-01-20,,,28795.91015625,,,,28795.91015625,,,,29174.919921875,,,,28795.419921875,,,,29169.119140625,,,,1633383900.0,
2020-01-21,216.22079467773438,306.2350769042969,27985.330078125,9370.8095703125,223.27999877929688,331.29998779296875,27985.330078125,9370.8095703125,223.83999633789062,332.17999267578125,28492.029296875,9397.580078125,222.66000366210938,330.82000732421875,27980.5,9350.2001953125,222.75999450683594,330.8999938964844,28449.380859375,9361.0703125,21146300.0,77742400.0,2236521700.0,2686610000.0
2020-01-22,216.79209899902344,306.27215576171875,28341.0390625,9383.76953125,223.8699951171875,331.3399963378906,28341.0390625,9383.76953125,225.14999389648438,332.95001220703125,28393.9296875,9439.2900390625,223.58999633789062,331.1700134277344,27937.6796875,9375.1298828125,224.41000366210938,332.239990234375,28116.5,9413.6103515625,20736400.0,48914900.0,1343288100.0,2454580000.0
2020-01-23,217.4893341064453,306.62335205078125,27909.119140625,9402.48046875,224.58999633789062,331.7200012207031,27909.119140625,9402.48046875,224.69000244140625,332.1700134277344,28133.029296875,9409.2001953125,222.6999969482422,329.4100036621094,27706.369140625,9334.1298828125,223.74000549316406,330.6300048828125,28109.75,9377.7197265625,26496100.0,51963000.0,1753263000.0,2465850000.0
2020-01-24,215.6591033935547,303.8965148925781,27949.640625,9314.91015625,222.6999969482422,328.7699890136719,27949.640625,9314.91015625,225.8800048828125,332.5299987792969,27977.630859375,9451.4296875,221.6699981689453,327.3599853515625,27774.5,9273.23046875,225.63999938964844,332.44000244140625,27935.419921875,9446.2099609375,37436500.0,87578400.0,612128700.0,2622970000.0
2020-01-27,211.2045440673828,299.0252380371094,,9139.3095703125,218.10000610351562,323.5,,9139.3095703125,219.27999877929688,325.1199951171875,,9185.4501953125,217.17999267578125,322.6600036621094,,9088.0400390625,217.6699981689453,323.0299987792969,,9092.4599609375,42264400.0,84062500.0,,2593910000.0
2020-01-28,214.4486541748047,302.15875244140625,,9269.6796875,221.4499969482422,326.8900146484375,,9269.6796875,221.9600067138672,327.8500061035156,,9288.8701171875,219.05999755859375,323.6000061035156,,9182.330078125,219.63999938964844,325.05999755859375,,9201.8203125,26731900.0,63834000.0,,2169020000.0
